Transliteration,Class,Voice
yudh,4,A
ak,1,P
agh,10,U
aGk,10,U
aGk,1,A
aJc,1,U
aT,1,P
at,1,P
ad,2,P
ay,1,A
argh,1,P
arc,10,U
arc,1,P
arj,1,P
arj,10,U
ard,1,P
ard,10,U
arh,10,U
arh,1,P
al,1,U
av,1,P
az,9,P
az,5,A
as,4,P
as,2,P
A+zAsu,2,A
Ap,5,P
Ap,10,U
As,2,A
iG,2,A
iN,2,P
iS,6,P
IkS,1,A
ID,2,A
ID,10,U
Ir,10,U
IrSy,1,P
IS,1,A
Ih,1,A
ujjh,6,P
Urj,10,U
Uh,1,A
ej,1,U
kaTh,1,P
kaN,10,U
katth,1,A
kath,10,U
kal,10,U
kalp,10,U
kalla,1,A
kAMkS,1,P
kAz,4,A
kAz,1,A
kIl,1,P
ku,2,P
kuc,6,P
kutsa,10,A
kup,4,P
kurda,1,A
kUj,1,P
kR,8,A
kR,5,U
kRtI,6,P
kRS,6,U
kRS,1,P
kRRta~,10,P
krand,1,P
krand,1,U
kram,1,P
krI,9,P
krIDR,1,P
krudh,4,P
kruz,1,P
kladi,1,A
klidU,4,P
kliz,4,A
klRp,1,A
kleza,1,A
kvaN,1,P
kSamUS,4,P
kSar,1,P
kSal,10,U
kSi,1,P
kSi,6,P
kSi,5,P
kSip,6,U
kSip,4,P
kSudh,4,P
kSubha,1,A
kSubh,9,P
kSubh,4,P
kSai,1,P
khaJja,1,P
khaND,10,U
khan,1,U
khAd,1,P
khid,8,A
khid,4,A
khid,6,P
khel,1,P
gaNa,10,U
gad,1,P
gam,1,P
garja,10,U
garja,1,P
garva,1,P
garha,10,U
garha,1,A
gaveSa,10,P
gAh,1,A
guj,1,P
gup,1,P
gupha,6,P
guh,1,U
gRR,6,P
gai,1,P
grathi,1,A
gras,1,A
graha,9,U
glai,1,P
ghaTa,1,A
ghaT,10,U
ghuS,10,U
ghRN,8,U
ghRS,1,P
ghrA,1,P
cakAs,2,U
cakS,2,A
car,1,P
car,10,U
carva,10,U
carva,1,P
cal,1,P
cal,10,U
ciJ,5,U
cit,10,A
cit,1,P
citr,10,U
cumb,1,P
cur,10,U
cUrN,10,P
cUS,1,P
ceSTa,1,A
chad,10,U
chad,1,U
chidir,7,U
chur,6,P
jan,4,A
jap,1,P
jal,10,U
jalp,1,P
jAgR,2,P
ji,1,P
jIva,1,P
juS,6,A
jRmbh,1,A
jJap,10,U
jJA,9,U
jJA,10,U
jvar,1,P
jval,1,P
TaGk,10,U
TaGk,1,P
nand,1,P
ras,10,U
sah,1,A
sAr,10,U
sukh,10,U
sUc,10,U
sUd,1,A
sR,1,P
sRj,10,U
sRj,6,P
sRj,4,A
sRd,10,U
sRp,1,P
sev,1,A
skhal,1,P
stana,10,U
stan,1,P
stu,2,U
stena,10,U
snA,2,P
spadi,1,A
spardha,1,A
spRz,6,P
spRha,10,U
sphuT,6,P
sphuT,1,A
sphur,6,P
smR,1,P
syand,1,A
srans,1,A
sru,1,P
svan,1,P
svap,2,P
svara,10,U
svAd,1,A
svid,1,A
svid,4,P
han,2,P
hase,1,P
hA,3,P
hA,3,A
hisi,7,P
hu,3,P
hRJ,1,P
hRSa,4,P
hRSu,1,P
hras,1,P
hrI,3,P
hlAdI,1,A
hveJ,1,P
