Root,Transliteration,Meaning,Voice,Class
अभ्र्,abhr,"to go, \nto wander about",P,1
अच्,ach,"to distinguish, \nto particularise\nto go\nto request\nto speak indistinctly\nto go\nto request\nto bend\nto worship\nto honour or \nto revere",P,1
आछ्,achh,"to lengthen, \nto stretch, \nto make straight",P,1
अड्,ad,to exert\nto try,P,2
अद्,ad,to eat,P,2
अड्ड्,add,"to join\nto attack\nto explain the sense of\nto sue, \nto exert",P,1
अग्,ag,"to wind, \nto go",P,1
अघ्,agh,to sin,U,10
अह्,ah,to pervade,P,1
अज्,aj,"to go\nto drive\nto throw\nto make clear, \nto anoint, \nto be beautiful, \nto go\nto speak",P,1
अक्,ak,to move \ntortuously,P,1
अक्ष्,aksh,to pervade\nto reach\nto accumulate,P,1
अल्,al,to adorn\nto be competent or able,U,1
अम्,am,"to be ill, \nto afflict with sickness\nto go\nto sound, \nto wait upon",P,1
अम्ब्,amb,to sound,P,1
अम्बर्,ambar,to bring \ntogether,P,1
अण्,an,"to breathe\nto utter a voice, \nto sound",P,1
अन्,an,to breath\nto breathe,P,1
अन्ध्,andh,"to become blind, \nto shut eyes",P,1
आन्द्Oल्,andol,to swing,P,1
अङ्ग्,ang,"to go\nto go, \nto mark",P,1
अङ्घ्,angh,to go\nto hasten\nto begin\nto blame\nto gamble,P,1
अंह्,anh,to go\nto shine,P,1
अङ्क्,ank,"to go, \nto mark\nto mark",P,1
अंस्,ans,to distribute\nto speak,P,1
अंश्,ansh,to distribute,P,1
अन्त्,ant,to bind,P,1
अण्ठ्,anth,to go,P,1
अण्ट्ट,antta,to despise,P,1
आप्,ap,"to obtain\nto pervade, \nto obtain, \nto occupy, \nto reach",P,1
अर्ब्,arb,"to go, \nto injure, \nto kill",P,1
अर्च्,arch,to worship\nto worship\nto honour\nto shine\nto praise,P,1
अर्द्,ard,"to go\nto beg or request\nto kill, \nto hurt",P,1
अर्द्,ard,"to go\nto beg or request\nto kill, \nto hurt",U,10
अर्घ्,argh,to be worth\nto be worth\nto cost,P,1
अर्ह्,arh,to worship,U,10
अर्ह्,arh,to worship,P,1
अर्ज्,arj,to procure\nto procure\nto earn,P,1
अर्ज्,arj,to procure\nto procure\nto earn,U,10
अर्क्,ark,"to praise, \nto heat",P,1
अर्थ्,arth,"to request, \nto beg",P,1
अर्व्,arv,to kill,P,1
अस्,as,to be\nto throw,P,4
अस्,as,to be\nto throw,P,2
आस्,as,"to sit, \nto be",P,4
आस्,as,"to sit, \nto be",P,2
अश्,ash,"to eat,\nto pervade, \nto heap, \nto obtain, \nto go \nto",P,1
अष्,ash,"to go, \nto shine, \nto receive",P,1
अट्,at,to wander,P,1
अत्,at,to go constantly\nto obtain,P,1
अठ्,ath,to go,P,1
अट्ट्,att,to transgress\nto kill,P,1
अव्,av,"to protect, \nto move, \nto be lovely, \nto please, \nto satisfy, \nto know, \nto enter, \nto hear, \nto own, \nto beg, \nto act, \nto desire, \nto shine, \nto obtain, \nto embrace, \nto kill, \nto take, \nto be, \nto grow",P,1
अवधीर्,avadhir,"avādhīr to despise, \nto disregard",P,1
अय्,ay,to go,A,1
बद्,bad,to be steady or firm,P,1
बाड्,bad,to bathe\nto dive,P,1
