#,Dhatu Name,English,IPA,Dhatu Meaning
1,अभ्र्,abhr,ab̤r,"to go, to wander about"
2,अच्,ach,at͡ʃ,"to distinguish, to particulariseto goto requestto speak indistinctlyto goto requestto bendto worshipto honour or to revere"
3,आछ्,achh,aːt͡ʃʰ,"to lengthen, to stretch, to make straight"
4,अड्,ad,aɖ,to exertto try
5,अद्,ad,ad,to eat
6,अड्ड्,add,aɖɖ,"to jointo attackto explain the sense ofto sue, to exert"
7,अग्,ag,aɡ,"to wind, to go"
8,अघ्,agh,aɡ̤,to sin
9,अह्,ah,aɦ,to pervade
10,अज्,aj,ad͡ʒ,"to goto driveto throwto make clear, to anoint, to be beautiful, to goto speak"
11,अक्,ak,ak,to move tortuously
12,अक्ष्,aksh,akʂ,to pervadeto reachto accumulate
13,अल्,al,al,to adornto be competent or able
14,अम्,am,am,"to be ill, to afflict with sicknessto goto sound, to wait upon"
15,अम्ब्,amb,amb,to sound
16,अम्बर्,ambar,ambər,to bring together
17,अण्,an,aɳ,"to breatheto utter a voice, to sound"
18,अन्,an,an,to breathto breathe
19,अन्ध्,andh,and̤,"to become blind, to shut eyes"
20,आन्द्Oल्,andol,aːndol,to swing
21,अङ्ग्,ang,aŋɡ,"to goto go, to mark"
22,अङ्घ्,angh,aŋɡ̤,to goto hastento beginto blameto gamble
23,अंह्,anh,nɦ,to goto shine
24,अङ्क्,ank,aŋk,"to go, to markto mark"
25,अंस्,ans,ns,to distributeto speak
26,अंश्,ansh,nʃ,to distribute
27,अन्त्,ant,ant,to bind
28,अण्ठ्,anth,aɳʈʰ,to go
29,अण्ट्ट,antta,aɳʈʈə,to despise
30,आप्,ap,aːp,"to obtainto pervade, to obtain, to occupy, to reach"
31,अर्ब्,arb,arb,"to go, to injure, to kill"
32,अर्च्,arch,art͡ʃ,to worshipto worshipto honourto shineto praise
33,अर्द्,ard,ard,"to goto beg or requestto kill, to hurt"
34,अर्घ्,argh,arɡ̤,to be worthto be worthto cost
35,अर्ह्,arh,arɦ,to worship
36,अर्ज्,arj,ard͡ʒ,to procureto procureto earn
37,अर्क्,ark,ark,"to praise, to heat"
38,अर्थ्,arth,artʰ,"to request, to beg"
39,अर्व्,arv,arv,to kill
40,अस्,as,as,to beto throw
41,आस्,as,aːs,"to sit, to be"
42,अश्,ash,aʃ,"to eat,to pervade, to heap, to obtain, to go to"
43,अष्,ash,aʂ,"to go, to shine, to receive"
44,अट्,at,aʈ,to wander
45,अत्,at,at,to go constantlyto obtain
46,अठ्,ath,aʈʰ,to go
47,अट्ट्,att,aʈʈ,to transgressto kill
48,अव्,av,av,"to protect, to move, to be lovely, to please, to satisfy, to know, to enter, to hear, to own, to beg, to act, to desire, to shine, to obtain, to embrace, to kill, to take, to be, to grow"
49,अवधीर्,avadhir,avd̤iːr,"avādhīr to despise, to disregard"
50,अय्,ay,aj,to go
51,बद्,bad,bəd,to be steady or firm
52,बाड्,bad,baːɖ,to batheto dive
53,बध्,badh,bəd̤,"to bind, to restrainto loatheto be disgusted with, to shrink from"
54,बाध्,badh,baːd̤,"to oppress, to torment"
55,बाह्,bah,baːɦ,to endeavour
56,बल्,bal,bəl,to breathto hoard grainto breathe
57,बल्ह्,balh,bəlɦ,"to be pre-eminentto speak, to shine"
58,बण्,ban,bəɳ,to sound
59,बन्ध्,bandh,bənd̤,"to bind, to attract, to catch, to imprison, to wear, to form, to compose, to fix on, to bear fruit"
60,बंह्,banh,bənɦ,"to grow, to increase"
61,बर्ह्,barh,bərɦ,"to be pre-eminentto speak: to killto giveto kill, to speak, to shine"
62,बर्व्,barv,bərv,to go
63,बस्,bas,bəs,to stop
64,बस्त्,bast,bəst,"to injure, to ask, to go"
65,बेह्,beh,beɦ,to endeavour
66,भज्,bhaj,b̤əd͡ʒ,"to break, to split, to interrupt, to frustrate, to disappointto give, to cookto speak, to shineto worshipto honour, to divideto be attached to, to serve"
67,भाज्,bhaj,b̤aːd͡ʒ,"to divide, to distribute"
68,भक्ष्,bhaksh,b̤əkʂ,"to eatto eat, to devour"
69,भल्,bhal,b̤əl,"to speak, to kill, to giveto see, to behold"
70,भाम्,bham,b̤aːm,to be angryto be angry
71,भण्,bhan,b̤əɳ,"to speak, to call"
72,भण्ड्,bhand,b̤əɳɖ,"to be fortunate, to be happy, to cheatto speak, to jest, to chide"
73,भन्द्,bhand,b̤ənd,to be prosperous or glad
74,भर्त्स्,bharts,b̤ərts,"to menace, to reprove, to beride"
75,भर्व्,bharv,b̤ərv,to kill
76,भस्,bhas,b̤əs,"to censure, to blame, o shine"
77,भास्,bhas,b̤aːs,"to shine, to appear, to become evident"
78,भष्,bhash,b̤əʂ,"to bark, to revile"
79,भाष्,bhash,b̤aːʂ,"to speak, to sayto call, to describe"
80,भट्,bhat,b̤əʈ,"to hire, to nourishto speak, to call"
81,भेष्,bhesh,b̤eʂ,"to fear, to go"
82,भी,bhi,b̤iː,"to fear, to be afraid of, to be anxious about"
83,भिद्,bhid,b̤id,"to break, to cut asunder, to transgress, to divide, to open, to cause to expand, to change, to perplex, to distinguish, to disturb, to betray, to set at variance"
84,भिक्ष्,bhiksh,b̤ikʂ,"to askto beg for without obtaining, to be weary or distressed, to obtain"
85,भिन्द्,bhind,b̤ind,"to split, to divide"
86,भ्लक्ष्,bhlaksh,b̤ləkʂ,to eat
87,भ्लाश्,bhlash,b̤laːʃ,"to shine, to glitter"
88,भ्लेष्,bhlesh,b̤leʂ,"to shine, to glitter"
89,भ्रक्ष्,bhraksh,b̤rəkʂ,to eat
90,भ्रम्,bhram,b̤rəm,"to be unsteady, to wander, to totterto roam about"
91,भ्रण्,bhran,b̤rəɳ,to speak
92,भ्रंश्,bhransh,b̤rənʃ,"to fall, to drop downto fall down, to decrease, to escape"
93,भ्रश्,bhrash,b̤rəʃ,"to fall, to drop down"
94,भ्राश्,bhrash,b̤raːʃ,"to shine, to glitter"
95,भ्रस्ज्,bhrasj,b̤rəsd͡ʒ,"to fry, to roast, to parch"
96,भ्रेज्,bhrej,b̤red͡ʒ,"to shine, to glitter"
97,भ्रेष्,bhresh,b̤reʂ,"to fear, to go"
98,भृ,bhri,b̤r̩,"to bear, to support, to nourish, to protect, to produce, to bestow, to hireto blame, to censure, to nourish, to maintainto support, to bear, to have, to fill"
99,भ्री,bhri,b̤riː,"to fear, to support"
100,भृज्,bhrij,b̤r̩d͡ʒ,"to parch, to fry"
101,भृंश्,bhrinsh,b̤r̩nʃ,"to speak, to shine"
102,भृश्,bhrish,b̤r̩ʃ,to fall down
103,भ्रुड्,bhrud,b̤ruɖ,"to cover, to collect, to plunge"
104,भ्रूण्,bhrun,b̤ruːɳ,"to hope, to fear"
105,भू,bhu,b̤uː,"to be purified, to consider, to mixto beto obtain, to attend"
106,भुज्,bhuj,b̤ud͡ʒ,"to bend, to curve, to be crookedto protect, to govern, to rule"
107,भूंष्,bhunsh,b̤uːnʂ,to adorn
108,भूष्,bhush,b̤uːʂ,"to adorn, to decorate"
109,भ्यस्,bhyas,b̤jəs,to fear
110,बिल्,bil,bil,"to breakto break, to split, to divide"
111,बिन्द्,bind,bind,"to split, to cleave, to divide"
112,बिस्,bis,bis,"to throw, to instigate, to go, to split, to grow"
113,बिट्,bit,biʈ,"to swear, to curse, to shout"
114,बृह्,brih,br̩ɦ,"to work, to labour"
115,बृंह्,brinh,br̩nɦ,"to increase, to sound"
116,बृन्न्,brinn,br̩nn,"to grow, to increase"
117,ब्रू,bru,bruː,to speakto sayto tell
118,ब्रूस्,brus,bruːs,"to kill, to hurt"
119,बुड्,bud,buɖ,"to discharge, to cover"
120,बुध्,budh,bud̤,"to know, to understand, to awake, to be restored to one’s sensesto knowto understandto thinkto make knownto informto teach"
121,बुक्क्,bukk,bukk,"to bark, to speakto barkto soundto yelpto speak"
122,बुन्द्,bund,bund,to perceiveto apprehend
123,बुस्,bus,bus,"to discharge, to emit"
124,बुस्त्,bust,bust,"to respect, to disrespect"
125,ब्युस्,byus,bjus,to divide
